scenario_uid,persona_name,entity_name,professional_persona,flag_policyrole,kg_role,mislabel_source
100E_gemini_25,A (dn69a4),AI for Public Good Principle | KG-Gen-dn69a4mh,"A freelance AI consultant who previously worked in a large tech firm, I now advise small and medium enterprises on adopting generative AI for marketing and customer insights. I often use the AI Readiness Index to guide my clients.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_26,A (dhtauo),AI for Public Good Principle | KG-Gen-dhtauobu,"A community organiser in a residents' committee, I am working with a government agency to co-design an AI-driven platform that connects volunteers with elderly residents in need. I see AI as a tool to strengthen social bonds, not replace them.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_27,A (c696sq),AI for Public Good Principle | KG-Gen-c696sqk2,A mid-career engineer working in a local SME that supplies electronics components. She is actively seeking ways to integrate AI into her company's quality inspection processes to reduce waste and improve yield.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_27,A (t0zuzg),AI for Public Good Principle | KG-Gen-t0zuzgu0,A social entrepreneur who runs a non-profit that uses technology to support migrant worker welfare. He wants to deploy AI-powered translation and rights-education chatbots to reach more workers in their native languages.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_28,A (c7glkb),AI for Public Good Principle | KG-Gen-c7glkbvx,A fresh graduate from a local polytechnic who completed the AI Apprenticeship Programme (AIAP) and now works as a junior AI engineer in a fintech startup. She is passionate about using AI to detect and prevent scams.,True,PolicyRole:AI for Public Good Principle,
100E_gemini_28,A (u8zc6k),AI for Public Good Principle | KG-Gen-u8zc6k1a,A mid-career professional who recently switched from retail management to tech through a Career Conversion Programme. He now works as a business analyst in a logistics firm and wants to implement AI route optimisation.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_29,An,AI for Public Good Principle | KG-Gen-kolje3f2,"An experienced data scientist in a multinational bank, focusing on credit risk models. She is interested in co-creating AI solutions for financial inclusion of low-income households.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_30,A (m95kg0),AI for Public Good Principle | KG-Gen-m95kg03p,A retired teacher in her 60s who now volunteers with a seniors' digital literacy group. She wants to co-design AI tools that help elderly Singaporeans navigate e-government services safely.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_30,A (8we5ph),AI for Public Good Principle | KG-Gen-8we5phb6,A young entrepreneur who founded an agri-tech startup that uses computer vision to monitor crop health in vertical farms. He is applying to the 100 Experiments programme to scale his prototype.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_31,A (d42jon),AI for Public Good Principle | KG-Gen-d42jondl,A senior product manager at a health-tech company that builds AI-assisted diagnostic tools. He wants to ensure the tools are robust and safe before deployment in polyclinics.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_32,A (j5qrro),AI for Public Good Principle | KG-Gen-j5qrrog3,A freelance graphic designer with a side interest in AI art tools. She participates in hackathons to explore ethical uses of generative AI for preserving local dialects and heritage.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_33,A (4o6xoa),AI for Public Good Principle | KG-Gen-4o6xoajz,A mid-level civil servant in the Government Technology Agency (GovTech) tasked with procuring AI solutions for public services. He is keen to pilot a chatbot for citizens seeking housing grants.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_33,A (l9bbly),AI for Public Good Principle | KG-Gen-l9bblyp8,"A mid-career civil engineer who transitioned into urban planning, now working at the Urban Redevelopment Authority. She believes AI can optimise traffic flow and resource allocation for a more sustainable Singapore.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_34,A (9s3qtv),AI for Public Good Principle | KG-Gen-9s3qtvav,"A former teacher turned edtech entrepreneur, he runs a start-up that creates personalised learning tools for students with dyslexia. He is passionate about making AI accessible for inclusive education.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_34,A (s0w226),AI for Public Good Principle | KG-Gen-s0w226ag,"A logistics operations manager at a mid-sized freight company, he deals daily with route inefficiencies and rising costs. He is keen to adopt AI to optimise delivery schedules and reduce fuel waste.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_35,A (zy0wpp),AI for Public Good Principle | KG-Gen-zy0wpp6y,"A fresh graduate in computer science who joined a government-backed AI apprenticeship. She wants to apply her skills to projects that directly benefit citizens, such as elderly care or public health.",True,PolicyRole:AI for Public Good Principle,
100E_gemini_36,A (ssgtlk),AI for Public Good Principle | KG-Gen-ssgtlkyx,"A senior banker in a local bank, he is leading the digital transformation of retail lending. He sees responsible AI as crucial for fair credit scoring and fraud detection.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_36,A (n2mf0s),AI for Public Good Principle | KG-Gen-n2mf0sj0,A freelance data scientist who helps SMEs adopt AI on a project basis. She is motivated by the idea of levelling the playing field for smaller businesses that cannot afford large AI teams.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_37,A (264pts),AI for Public Good Principle | KG-Gen-264ptst2,"A mid-level civil servant at the Ministry of Health, tasked with exploring AI to streamline administrative processes. He is cautious but open to innovation, wanting to ensure patient data privacy is never compromised.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_37,A (203ct5),AI for Public Good Principle | KG-Gen-203ct5ev,"A social science researcher at a local university, she studies algorithmic fairness and bias. She wants her work to inform government guidelines on inclusive AI.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_38,A (wjn7ha),AI for Public Good Principle | KG-Gen-wjn7hacp,A founder of a small agritech firm that uses AI to help local farms monitor crop health and optimise water usage. He is driven by food security and sustainability concerns.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_39,A (zvlb9j),AI for Public Good Principle | KG-Gen-zvlb9ji2,A retired IT professional who now volunteers at a community centre teaching digital literacy to seniors. He sees AI as a tool to help the elderly stay connected and independent.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_39,Mid-career,AI for Public Good Principle | KG-Gen-hss45s3f,Mid-career technologist at a logistics SME who pivoted into AI through TeSA's Company-Led Training Programme. He now leads a small data team and is actively scoping an AI pilot for route optimization under the 100 Experiments programme.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_40,Independent,AI for Public Good Principle | KG-Gen-i5f7wz8v,"Independent consultant specializing in responsible AI governance, recently engaged by a government agency to help draft sector-specific AI ethics guidelines. She frequently moderates hackathons and ideathons that pair public researchers with industry to solve real-world pain points.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_41,Early-career,AI for Public Good Principle | KG-Gen-jyskh2mw,"Early-career researcher in a university AI lab working on resource-efficient AI models. She participated in a joint grant call with an industry partner to develop low-cost AI solutions for smallholder farmers in Southeast Asia, aligning with the Public Good principle.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_41,Senior,AI for Public Good Principle | KG-Gen-lv1a3ydr,Senior product manager at a fintech startup that recently completed the Digital Leaders Programme to scope an AI-driven fraud detection project. She actively participates in industry roundtables on AI adoption and mentors junior professionals through TeSA's Career Conversion Programme.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_42,Mid-career,AI for Public Good Principle | KG-Gen-bmugmys6,Mid-career professional with 12 years in logistics and supply chain management. Currently exploring AI to optimize route planning and reduce carbon footprint for a regional distribution firm.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_42,Recent,AI for Public Good Principle | KG-Gen-osql3pol,Recent computer science graduate who built a chatbot for a community centre during university. Passionate about using AI to improve public services for seniors and low-income families.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_43,Experienced,AI for Public Good Principle | KG-Gen-cpebn104,"Experienced educator and curriculum designer at a polytechnic, integrating AI literacy into business courses. Believes AI should empower workers rather than displace them.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_43,Serial,AI for Public Good Principle | KG-Gen-tiip0byr,"Serial entrepreneur in the food & beverage sector, having launched three cloud kitchens. Now exploring AI-driven demand forecasting and waste reduction.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_43,Healthcare,AI for Public Good Principle | KG-Gen-kgwws4qf,"Healthcare administrator at a public hospital, responsible for patient flow and resource allocation. Keen to implement AI triage tools to reduce waiting times.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_44,Urban,AI for Public Good Principle | KG-Gen-21www1ev,"Urban planner from the Land Transport Authority, working on smart mobility projects. Interested in using AI to optimise bus routes and reduce congestion.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_45,Freelance,AI for Public Good Principle | KG-Gen-fv8z8xyd,Freelance graphic designer and illustrator who started using generative AI tools for concept art. Wants to ensure AI augments human creativity rather than replacing artists.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_45,Retired,AI for Public Good Principle | KG-Gen-odv8gmog,"Retired engineer with a background in semiconductor manufacturing. Now volunteers with a digital inclusion charity, teaching basic AI concepts to seniors.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_46,Policy,AI for Public Good Principle | KG-Gen-8829332w,"Policy analyst at the Ministry of Digital Development and Information, drafting frameworks for responsible AI deployment. Focuses on balancing innovation with citizen protection.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_46,Banking,AI for Public Good Principle | KG-Gen-w06js7mi,Banking professional turned data analyst in a fintech startup. Uses AI to detect fraudulent transactions and wants to extend these models to small merchants.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_47,A (4i19kr),AI for Public Good Principle | KG-Gen-4i19krun,A mid-career professional in a traditional manufacturing firm who has witnessed inefficiencies in supply chain logistics. She believes that carefully deployed AI can reduce waste and improve worker safety.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_48,A (2p41o5),AI for Public Good Principle | KG-Gen-2p41o5vj,"A recent polytechnic graduate who was retrenched from retail during the pandemic. He retrained in AI and now works as a junior data analyst in an SME, driven to prove that AI can benefit small businesses.",False,PolicyRole:AI for Public Good Principle,
100E_gemini_49,A (20wynv),AI for Public Good Principle | KG-Gen-20wynvt5,A mid-career engineer at a local manufacturing SME who wants to automate quality inspection using computer vision. He is eager to apply for the 100 Experiments programme to co-develop a custom AI solution.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_50,A (wcncue),AI for Public Good Principle | KG-Gen-wcncue0g,A founder of a health-tech startup that uses AI to predict patient deterioration from wearable data. She is participating in the AI Trailblazers programme to prototype a generative AI dashboard for clinicians.,False,PolicyRole:AI for Public Good Principle,
100E_gemini_50,A (av2aw3),AI for Public Good Principle | KG-Gen-av2aw33c,A mid-level manager in a logistics company who recently led a pilot using AI for route optimization. He wants to expand the project under the 100E programme with help from AISG researchers.,False,PolicyRole:AI for Public Good Principle,
