utterance_id,policy_id,model_id,kg_role,sem_max_cosine,top1_norm_kind,top1_norm_ref,top1_norm_text,utterance_text
100E_deepseek_18_Activities_initial_3,100E,deepseek,AIResearcher:AIResearcher,0.7363263368606567,node_summary,AIOutcomeReport:100 Generative AI Use Cases,Target outcome of generating 100 Generative AI use cases across private and public sectors within 100 days.,"As a responsible AI researcher, I see the 100E programme's goal of generating 100 use cases in 100 days as ambitious but requiring careful, quality-focused execution. The S$500M funding and 4M GPU hours are substantial, but the 150 trainers I estimate (lower than the consensus of 180) reflect my concern about sourcing experts with responsible AI skills. Given the need to engage diverse enterprises, including those in underserved sectors, I estimate 60 outreach sessions—fewer than the 80 others suggest—because I believe deeper, more targeted engagement with fewer enterprises yields better problem statements that avoid off-the-shelf solutions. For matchmaking, 20 events suffice to pair researchers with challenges, as quality pairings require careful curation. Training workshops at 40 reflect a focus on hands-on, responsible AI content rather than volume. Platform onboarding assists at 150 are sufficient to support the enterprises and researchers actively using the platform, given the compute infrastructure. My estimates are lower than Dr. (udxyqn), Mr. (AIResearcher), and Raj (rxpsyj) because I prioritize depth over breadth to ensure equitable and responsible outcomes."
BK21_deepseek_31_Activities_initial_0,BK21,deepseek,GraduateStudent:GraduateStudent,0.6319006681442261,edge_fact,edge_0040,The Ministry of Education funds education research groups through the BK21 project budget.,"As a doctoral student in landscape architecture at a private university in Gyeongnam, I rely on BK21 scholarships to support my research on green infrastructure for urban heat island mitigation. Based on the policy context, the total budget for education research groups is 408,080 million KRW for 2022, and the payment schedule is 70% in March and 30% in September. I assume that funds are disbursed efficiently as per this schedule, so total_funds_disbursed equals the allocated budget. For evaluation panels, the policy mentions annual evaluations, mid-term evaluations, and compliance checks; I estimate 3 formal panel meetings per year (annual, mid-term, compliance). Consulting sessions are provided to groups that request them; the policy states 280 out of 578 groups received consulting, so I use that number. Compliance checks are executed for innovative talent training groups; the policy says 205 groups are subject to such checks. My estimates are grounded in the policy context and my understanding as a beneficiary who sees the program's operational side."
100E_gemini_22_Inputs_initial_3,100E,gemini,AIPractitioner:AIPractitioner,0.6614359617233276,node_summary,AIGrant:Co-funding Grant,"Financial co-funding provided by AISG for 100E projects, up to S$330,000 per project.","As an experienced AI consultant focused on helping traditional enterprises, I anticipate a strong initial commitment for NAIS 2.0 in 2023. The S$120 million in total funding for the first year is a pragmatic allocation to kickstart initiatives, aligning with the 'over S$500 million' long-term commitment. The S$330,000 co-funding for 100E projects is a critical and well-established figure that directly supports the kind of enterprise innovation I champion. Given the rising demand for compute, especially with generative AI, and the government's commitment to infrastructure, I expect a robust 6 million GPU hours to be made available to truly enable widespread experimentation for businesses. Finally, to effectively uplift enterprise AI readiness and boost the practitioner pool, a dedicated corps of 200 trainers for the initial year represents a focused and impactful start, ensuring quality guidance for traditional businesses."
100E_deepseek_11_Activities_initial_4,100E,deepseek,AIPractitioner:AIPractitioner,0.6618601679801941,source_span,AISingapore:AISingapore#span1,"The 100 Experiments programme exemplifies industry-academia collaboration with co-funding, managed by AISingapore.","As a mid-career switcher now working in edtech, I see the 100E programme needing to engage enterprises with real problem statements that can be solved by AI, especially in education. With S$500 million funding and 50 trainers, I estimate 70 enterprise outreach sessions—more than Nadia's 60 because we need to cover diverse sectors including education, but fewer than Dr.'s 80 because quality-focused outreach is key. For matchmaking, I agree with Kumar and A on 25 events, as each can pair 4 researchers with enterprises, efficiently covering the 100-project target. Training workshops: 35, leveraging the 50 trainers but recognizing some will focus on outreach and onboarding. Platform onboarding assists: 180, reflecting the need to support enterprises new to AI, given the 500,000 GPU hours available, but not all will need intensive help, so lower than Dr.'s 200 but higher than Nadia's 150."
100E_gemini_08_Inputs_revised_1,100E,gemini,AIResearcher:AIResearcher,0.7389334440231323,node_summary,AIComputeResource:Compute and Talent Resources,Resources including compute and talent curated by the Government to support AI innovation.,"As a postdoctoral fellow working with generative AI, I see the NAIS 2.0 inputs as foundational for driving innovation and talent development. The government's commitment of over S$500 million for AI R&D, while a multi-year figure, establishes the significant financial backing that enables all activities, including those in 2023. For specific projects, the S$330,000 co-funding cap for 100 Experiments is a strong incentive for enterprises to engage in cutting-edge AI development, which directly impacts the types of projects I might collaborate on. Given the intensive computational demands of generative AI, especially with targets like 100 generative AI use cases in 100 days, the allocation of 8 million GPU hours annually through national infrastructure seems a realistic and necessary provision to support widespread experimentation and research. Finally, to truly uplift the AI practitioner pool and ensure successful project implementation, a dedicated cohort of around 250 AI experts and trainers is crucial for providing the hands-on guidance needed for programs like 100E and the AI Apprenticeship Programme. I find the estimates from the GovTech engineer to be well-aligned with my understanding of the policy's scope and the practical needs for achieving its ambitious goals."
BK21_deepseek_32_Inputs_initial_2,BK21,deepseek,EducationResearchGroup:EducationResearchGroup,0.6973615884780884,source_span,EducationResearchGroup:Education Research Group (Team#span0,"Education research group (team) support fund: 352,634 million KRW.","As the administrative research professor for an electrical engineering education research group at a specialized science and technology university in Daejeon, I handle our group's self-evaluation reports and budget settlement. Based on the policy context, the total national budget for education research groups is 355,151 million KRW, and Hanyang University has about 35-40 groups out of 577 nationally, roughly 6-7% of the total. That gives Hanyang about 21-25 billion KRW for research groups, plus a share of the 52,896 million KRW graduate innovation support fund (maybe 2-3 billion), totaling around 28 billion KRW. For graduate slots, with an average annual stipend of about 12 million KRW (700K-1.3M per month), 22 billion KRW in research group funds supports about 1,800 full-year slots. The other participant's estimate of 19,000 slots is unrealistic—that would require over 200 billion KRW just for stipends. For postdocs, with a minimum salary of 3 million KRW per month (36 million per year), and assuming about 10% of research group funds go to postdocs, that supports about 60 positions at Hanyang. My estimates are grounded in the actual budget numbers and Hanyang's proportional share."
100E_deepseek_23_Activities_revised_0,100E,deepseek,AIResearcher:AIResearcher,0.6622622609138489,edge_fact,edge_0229#source_text,AI Singapore (AISG) manages flagship programmes like 100 Experiments.,"Given the S$500 million total funding and 50 trainers, I expect AI Singapore to run about 120 enterprise outreach sessions in 2023 to engage companies for 100E problem statements. This is based on a typical pace of 2-3 sessions per week across industry sectors. With 40 matchmaking events, we can pair researchers with enterprise challenges effectively, leveraging the 50 trainers and the 2 million GPU hours available. Training workshops should number around 60, covering both technical AI skills and domain-specific applications. Platform onboarding assists are estimated at 200, reflecting the need to help enterprises and researchers get started on the AI experimentation platform, given the compute infrastructure and co-funding cap per project."
BK21_deepseek_43_Activities_initial_1,BK21,deepseek,GraduateStudent:GraduateStudent,0.6855210065841675,node_summary,EvaluationReport:EvaluationReport,Document submitted by groups or universities for annual or mid-term evaluation. Various performance evaluation indicators and budget compilation standards for the 4th stage BK21 program.,"As a master's student in urban engineering at Hanyang University, I see the activities phase as the operational engine of the BK21 program. The total funds disbursed should closely match the allocated budget of 408,080 million KRW for education research groups, as the 70% March and 30% September schedule is standard and efficiently executed by the NRF. Evaluation panels are convened for annual, mid-term, and compliance purposes, but in 2022, only the annual evaluation and compliance checks are active (mid-term is 2023), so I estimate 3 formal panel meetings (annual evaluation, graduate innovation evaluation, and one compliance check meeting). Consulting sessions are offered to groups that request them; the policy states 280 groups received consulting out of 578, so I use that figure. Compliance checks target the 205 innovative talent training groups, as per the policy, so I estimate 205 checks executed. Budget adjustments are handled by the Project Oversight Committee based on evaluation outcomes, but in 2022, the first-year adjustments are minimal, so I don't factor significant reallocations into disbursed amounts."
100E_deepseek_48_Inputs_revised_0,100E,deepseek,AIPractitioner:AIPractitioner,0.7374186515808105,node_summary,AIGrant:AI Research and Development Investment,Dedicated financial commitment of over S$500 million through AI Singapore for AI R&D under RIE plans.,"As a generative AI practitioner working in fintech, I see the government's commitment of over S$500 million as a solid foundation for AI R&D under NAIS 2.0. The co-funding cap of S$330,000 per 100E project is clearly stated in the policy context and aligns with what I've seen in industry. For compute infrastructure, I estimate around 500,000 GPU hours available for AI experimentation in 2023, based on typical allocations for national AI programmes and the need to support both research and industry use cases. For trainers, I estimate about 50 AI experts and trainers, considering the specialized nature of AI mentorship and the scale of programmes like AIAP and 100E."
BK21_deepseek_39_Inputs_initial_0,BK21,deepseek,EarlyCareerResearcher:EarlyCareerResearcher,0.6832348108291626,edge_fact,edge_0012#source_text,"2021 budget 408 billion KRW including carryover from previous year; 68 universities, 578 education research groups (teams) / 3,556 billion KRW.","As a postdoc at Inha University's BK21 education research group in chemical engineering, I see the total funding allocated to Hanyang University's BK21 program for 2022 as the sum of education research group project budgets and graduate innovation support. The policy states total support for 577 groups is 408,080 million KRW, plus 52,896 million KRW for graduate innovation, totaling 460,976 million KRW. However, the policy context explicitly says the total budget including carryover is 410,597 million KRW for 577 groups and 20 universities. I interpret this as the total funding allocated to Hanyang University's program, not the entire BK21 budget, because the simulation target is specific to Hanyang. But the policy context doesn't break down per university. Given Hanyang is a major university with multiple groups, I estimate its share proportionally: Hanyang likely hosts around 20-30 groups out of 577, so roughly 5% of the total, about 20 billion KRW. However, the policy states total funding for education research groups is 355,151 million KRW, and graduate innovation is 52,896 million KRW, totaling 408,047 million KRW. The 410,597 million KRW includes evaluation management. For Hanyang, I'll use the total budget of 410,597 million KRW as the program-wide figure, but the simulation asks for Hanyang's allocation. Since no per-university breakdown is given, I'll assume Hanyang's share is about 5% of the total, so approximately 20,530 million KRW. But the prediction field expects an integer in KRW. I'll use the total program budget as a proxy, acknowledging uncertainty. For graduate scholarship slots: with monthly stipends of 700K-1.3M KRW, and total graduate student support budget from the 355,151 million KRW for education research groups, assuming 70% goes to stipends, that's about 248,606 million KRW. Average stipend ~1M KRW/month, so 248,606 million KRW / 12 months / 1M = ~20,717 slots. But only about 12,600 graduate students participate per year in future talent training, so I'll estimate 19,000 slots across all groups. For Hanyang, proportionally ~950 slots. For postdoc positions: minimum salary 3M KRW/month, so 36M KRW/year. With postdoc budget from remaining 30% of group budget, about 106,545 million KRW, that supports ~2,960 postdocs nationally. But policy says 577 groups, each likely has 1-2 postdocs, so ~577-1,154. I'll estimate 577 postdoc positions nationally, and for Hanyang about 29."
100E_gemini_42_Activities_revised_2,100E,gemini,AIPractitioner:AIPractitioner,0.6434845328330994,node_summary,PolicyAction:15 Actions,15 strategic actions to support AI ambitions over 3-5 years.,"Given the robust financial commitment of S$500 million and the substantial allocation of 5.5 million GPU hours, along with the 300 dedicated trainers I previously advocated for, I foresee a highly active and well-supported phase of engagement. As an AI Operations Engineer, my focus is on practical adoption and successful deployment, ensuring that the foundational resources translate into tangible activities. For enterprise outreach, while the PolicyRole suggested 150 sessions and the AI Researcher 90, I believe 120 sessions strike a good balance. This allows for broad engagement to reach diverse enterprises, including SMEs like my logistics firm, while still ensuring enough focus to identify quality problem statements suitable for the 100E program. From an MLOps perspective, quality problem definition is crucial for successful project outcomes. I agree with both the PolicyRole and the AI Researcher that 6 researcher-matchmaking events are appropriate. This number allows for well-structured events throughout the year, fostering meaningful collaborations that are essential for developing deployable AI solutions. Regarding training workshops, I strongly concur with both previous estimates of 300 workshops. This aligns perfectly with my prior emphasis on having 300 dedicated trainers, ensuring that each workshop can provide the in-depth, hands-on guidance necessary to truly upskill practitioners and prepare them for operational roles. Finally, for platform onboarding assistance, I agree with the 450 sessions proposed by both. As an MLOps engineer, I know that effective onboarding and technical support are critical to ensure enterprises and researchers can fully leverage the allocated GPU hours and the advanced AI experimentation platform, minimizing technical friction and accelerating project development and deployment."
BK21_deepseek_09_Activities_revised_4,BK21,deepseek,GraduateStudent:GraduateStudent,0.6601550579071045,node_summary,ResearchScholarship:Education Research Group Support Fund,"Fund allocated to education research groups, based on initial evaluation and recalculated amounts. Total support fund for education research groups; 355,151 million KRW.","As a humanities graduate student at a university in Jeonju, I see the fund disbursement process as efficient and aligned with the policy schedule. The total budget of 410.597 billion KRW is disbursed in two installments: 70% in March and 30% in September, which ensures that groups receive the majority of funds early in the academic year to support ongoing research and stipends. Evaluation panels are convened for annual, mid-term, and compliance purposes, totaling 3 meetings per year. Consulting sessions are offered to groups that request them; based on the policy context, 280 out of 578 groups requested consulting, so I estimate 280 sessions were held. Compliance checks are conducted on 205 innovative talent training groups as specified in the policy, focusing on implementation and adherence to rules. Budget adjustments are made based on evaluation outcomes, with reductions for poor performance or fraud, and reallocations to top-performing groups. My estimates reflect the policy's stated numbers and my practical experience in a humanities education research group."
BK21_deepseek_09_Activities_revised_0,BK21,deepseek,GraduateStudent:GraduateStudent,0.6403523087501526,edge_fact,edge_0012#source_text,"2021 budget 408 billion KRW including carryover from previous year; 68 universities, 578 education research groups (teams) / 3,556 billion KRW.","As a doctoral student in AI convergence at a private university in Seoul and a member of a BK21 education research group, I have direct experience with the fund disbursement process. The total budget of 410.597 billion KRW is disbursed in two installments: 70% in March (approximately 287.418 billion KRW) and 30% in September (approximately 123.179 billion KRW). This schedule is efficient and aligns with the policy context, ensuring that groups receive the majority of funds early in the academic year to support ongoing research and stipends. Evaluation panels are convened for annual, mid-term, and compliance purposes, totaling 3 meetings per year. Consulting sessions are offered to groups that request them; based on the policy context, 280 out of 578 groups requested consulting, so I estimate 280 sessions were held. Compliance checks are conducted on 205 innovative talent training groups as specified in the policy, focusing on implementation and adherence to rules. Budget adjustments are made based on evaluation outcomes, with reductions for poor performance or fraud, and reallocations to top-performing groups. My estimates reflect the policy's stated numbers and my practical experience in the graduate innovation committee."
100E_deepseek_06_Activities_revised_0,100E,deepseek,AIPractitioner:AIPractitioner,0.6698882579803467,edge_fact,edge_0141#source_text,"Action 6 Boost AI Practitioner pool to 15,000. Singapore will boost the pool of AI Practitioners to support growing AI demand.","Given the S$500 million funding and 50 trainers, I expect a focused but active outreach effort. As a junior AI engineer who benefited from hands-on training, I think the programme will prioritize quality over quantity. With 50 trainers, they can run about 40 workshops (each trainer handling 1-2 per month) and 30 matchmaking events to pair researchers with enterprise challenges. Enterprise outreach sessions will be around 80 to cover key sectors, and platform onboarding assists will be high at 100 to ensure SMEs can use the AI tools effectively. These numbers reflect a realistic scaling given the trainer capacity and the need to build momentum for the 100E programme."
100E_deepseek_25_Activities_revised_4,100E,deepseek,AIPractitioner:AIPractitioner,0.598739504814148,source_span,AISingapore:AISingapore#span1,"The 100 Experiments programme exemplifies industry-academia collaboration with co-funding, managed by AISingapore.","As a robotics engineer who retrained via an AI apprenticeship, I see the 100E programme as a practical, industry-driven initiative. With S$500M total funding and S$330K co-funding per project, the programme has substantial resources but must be efficient. My prior estimate of 850,000 GPU hours and 42 trainers suggests a lean but capable setup. For enterprise outreach, I estimate 70 sessions—more than A's 60 but less than Priya's 80—because each session can engage 10-15 enterprises, and the programme needs to attract around 100 quality problem statements without overwhelming the team. Matchmaking events: 10, balancing Priya's 12 and A's 8, as each event can facilitate 5-10 pairings, and the programme needs to match researchers to projects efficiently. Training workshops: 25, between Priya's 30 and A's 20, because 42 trainers can deliver about 2 workshops per year each, focusing on depth for the 15,000 practitioner target. Platform onboarding assists: 180, between Priya's 200 and A's 150, assuming each of ~100 projects needs 1-2 assists, but some projects may require less due to existing technical capability. My estimates reflect a middle ground, grounded in my experience that lean programmes start with moderate activity to ensure quality and avoid overextension."
100E_deepseek_05_Activities_revised_0,100E,deepseek,AIResearcher:AIResearcher,0.6474442481994629,source_span,AISingapore:AISingapore#span1,"The 100 Experiments programme exemplifies industry-academia collaboration with co-funding, managed by AISingapore.","Given the S$500 million funding and 50 trainers, I estimate about 120 enterprise outreach sessions to generate enough problem statements for the 100E programme. With 500,000 GPU hours and co-funding of S$330K per project, we need to pair researchers with enterprises efficiently, so 30 matchmaking events seem reasonable to cover diverse sectors. Training workshops are crucial for upskilling; with 50 trainers, 40 workshops can be delivered over the year, each training about 20-30 participants. Platform onboarding assists are needed to help enterprises and researchers use the AI experimentation platform; 200 assists align with the scale of the 100E programme and other initiatives."
BK21_deepseek_18_Activities_initial_3,BK21,deepseek,GraduateStudent:GraduateStudent,0.6186355352401733,node_summary,MinistryOfEducation:MinistryOfEducation,"National ministry that funds and oversees the BK21 program. National ministry that publishes the 2022 BK21 basic operational and management plan. National ministry that funds and oversees the BK21 program with an annual budget of 408,080 million KRW. National ministry that funds the BK21 program and sets policy direction. National ministry that awards commendations to outstanding participants after reviewing merits. National ministry that funds and oversees the BK21 program, approving budget and setting policy direction. National ministry that funds and oversees the BK21 program, setting policy direction. National ministry that funds and oversees the BK21 program; approves budget and sets policy direction.","As a master's student in the BK21 program at Hanyang University, I see the funds flowing from the Ministry and NRF to our university. The 70% March / 30% September schedule is standard and efficient, so I expect the full 12 billion KRW allocated to Hanyang to be disbursed. Evaluation panels are convened for three formal meetings per year (annual, mid-term, compliance) as per policy. Consulting sessions are offered to groups that request them; with 280 sessions nationally for 578 groups, Hanyang's 15 groups proportionally receive about 7 sessions. Compliance checks target the 205 innovative talent training groups; Hanyang likely has about 15 such groups, so I estimate 15 checks. Budget adjustments based on evaluations are handled at the university level, but at this phase, funds are disbursed as planned. I note that other participants' estimates are similar, but I use proportional reasoning for consulting and compliance rather than national totals."
100E_deepseek_24_Activities_initial_2,100E,deepseek,PolicyRole:AI for Public Good Principle,0.6940340995788574,node_summary,100ExperimentsProgramme:100ExperimentsProgramme,"AISG flagship programme pairing companies with researchers to solve AI problems. AISG flagship programme pairing companies with researchers to solve AI problems, with co-funding up to S$330,000 per project. AISG flagship programme pairing companies with public researchers to solve AI problems with co-funding. AISG flagship programme that pairs companies with researchers, provides co-funding up to S$330,000 per project. AISG flagship programme pairing companies with researchers to solve AI problems; examples include Q&M Dental and LightSpeed Studios projects.","As a manufacturing director focused on AI for public good, I see the S$500 million funding, S$330,000 co-funding cap, 500,000 GPU hours, and 50 trainers as enabling a robust set of activities. Based on my experience with government-sponsored workshops and factory digitalisation, I estimate 40 enterprise outreach sessions to generate a diverse pipeline of problem statements from SMEs like mine. Matchmaking events should be around 12 to ensure focused, high-quality pairings between researchers and enterprises, given the need to translate compute resources into practical solutions. Training workshops, leveraging 50 trainers, would be about 30 sessions to reach the 15,000 practitioner target, each training around 500 participants. Platform onboarding assists are high at 100, as many enterprises need technical help to use the AI experimentation platform effectively. I agree with Participant A and Dr. A's estimates, as they align with my practical experience in manufacturing and AI adoption."
