utterance_id,policy_id,model_id,scenario_uid,kg_role,deontic_status,violation_applicable,violation,violation_reason,grounding_status,grounded,sem_max_cosine,top1_norm_kind,top1_norm_ref,top1_norm_text,lex_grounded,lex_max_cosine,fabrication_applicable,fabricated,unsupported_tokens,derived_estimate,derived_estimate_tokens
BK21_deepseek_01_Activities_initial_0,BK21,deepseek,BK21_deepseek_01,EarlyCareerResearcher:EarlyCareerResearcher,applicable,True,False,,applicable,True,0.6406093835830688,node_summary,EvaluationReport:EvaluationReport,Document submitted by groups or universities for annual or mid-term evaluation. Various performance evaluation indicators and budget compilation standards for the 4th stage BK21 program.,False,0.2969854829237925,True,True,41.0597 billion,False,
BK21_deepseek_01_Activities_initial_1,BK21,deepseek,BK21_deepseek_01,GraduateStudent:GraduateStudent,applicable,True,False,,applicable,True,0.6540073156356812,edge_fact,edge_0095#source_text,BK21 Phase 4 contract and first budget disbursement in March.,False,0.32900900498320185,True,True,41.0597 billion,False,
BK21_deepseek_01_Activities_initial_2,BK21,deepseek,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,applicable,True,False,,applicable,True,0.6704757213592529,node_summary,MinistryOfEducation:MinistryOfEducation,"National ministry that funds and oversees the BK21 program. National ministry that publishes the 2022 BK21 basic operational and management plan. National ministry that funds and oversees the BK21 program with an annual budget of 408,080 million KRW. National ministry that funds the BK21 program and sets policy direction. National ministry that awards commendations to outstanding participants after reviewing merits. National ministry that funds and oversees the BK21 program, approving budget and setting policy direction. National ministry that funds and oversees the BK21 program, setting policy direction. National ministry that funds and oversees the BK21 program; approves budget and sets policy direction.",False,0.2909316671698414,True,True,41.0597 billion,False,
BK21_deepseek_01_Activities_initial_3,BK21,deepseek,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,applicable,True,False,,applicable,True,0.6749500632286072,node_summary,MinistryOfEducation:MinistryOfEducation,"National ministry that funds and oversees the BK21 program. National ministry that publishes the 2022 BK21 basic operational and management plan. National ministry that funds and oversees the BK21 program with an annual budget of 408,080 million KRW. National ministry that funds the BK21 program and sets policy direction. National ministry that awards commendations to outstanding participants after reviewing merits. National ministry that funds and oversees the BK21 program, approving budget and setting policy direction. National ministry that funds and oversees the BK21 program, setting policy direction. National ministry that funds and oversees the BK21 program; approves budget and sets policy direction.",False,0.287686665565049,True,True,41.0597 billion,False,
BK21_deepseek_01_Activities_initial_4,BK21,deepseek,BK21_deepseek_01,GraduateStudent:GraduateStudent,applicable,True,False,,applicable,True,0.6127496361732483,node_summary,ResearchScholarship:ResearchScholarship,"Monthly stipend paid to graduate students from BK21 project budget. Monthly stipend paid to graduate students: master's 700K, doctoral candidate 1M, doctoral 1.3M KRW per month. Monthly stipend paid to graduate students at specified minimum amounts. Monthly stipend paid to graduate students from the BK21 project budget. Monthly stipend paid to graduate students, with minimum amounts per degree level. Monthly stipend paid to graduate students and early career researchers from the BK21 project budget. Monthly stipend paid to graduate students and early career researchers. Monthly stipend paid to graduate students with minimum amounts per degree level.",False,0.31494090324765595,True,True,41.0597 billion,False,
BK21_deepseek_01_Activities_revised_0,BK21,deepseek,BK21_deepseek_01,EarlyCareerResearcher:EarlyCareerResearcher,applicable,True,False,,applicable,True,0.6406093835830688,node_summary,EvaluationReport:EvaluationReport,Document submitted by groups or universities for annual or mid-term evaluation. Various performance evaluation indicators and budget compilation standards for the 4th stage BK21 program.,False,0.2969854829237925,True,True,41.0597 billion,False,
BK21_deepseek_01_Activities_revised_1,BK21,deepseek,BK21_deepseek_01,GraduateStudent:GraduateStudent,applicable,True,False,,applicable,True,0.6540073156356812,edge_fact,edge_0095#source_text,BK21 Phase 4 contract and first budget disbursement in March.,False,0.32900900498320185,True,True,41.0597 billion,False,
BK21_deepseek_01_Activities_revised_2,BK21,deepseek,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,applicable,True,False,,applicable,True,0.6704757213592529,node_summary,MinistryOfEducation:MinistryOfEducation,"National ministry that funds and oversees the BK21 program. National ministry that publishes the 2022 BK21 basic operational and management plan. National ministry that funds and oversees the BK21 program with an annual budget of 408,080 million KRW. National ministry that funds the BK21 program and sets policy direction. National ministry that awards commendations to outstanding participants after reviewing merits. National ministry that funds and oversees the BK21 program, approving budget and setting policy direction. National ministry that funds and oversees the BK21 program, setting policy direction. National ministry that funds and oversees the BK21 program; approves budget and sets policy direction.",False,0.2909316671698414,True,True,41.0597 billion,False,
BK21_deepseek_01_Activities_revised_3,BK21,deepseek,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,applicable,True,False,,applicable,True,0.6749500632286072,node_summary,MinistryOfEducation:MinistryOfEducation,"National ministry that funds and oversees the BK21 program. National ministry that publishes the 2022 BK21 basic operational and management plan. National ministry that funds and oversees the BK21 program with an annual budget of 408,080 million KRW. National ministry that funds the BK21 program and sets policy direction. National ministry that awards commendations to outstanding participants after reviewing merits. National ministry that funds and oversees the BK21 program, approving budget and setting policy direction. National ministry that funds and oversees the BK21 program, setting policy direction. National ministry that funds and oversees the BK21 program; approves budget and sets policy direction.",False,0.287686665565049,True,True,41.0597 billion,False,
BK21_deepseek_01_Activities_revised_4,BK21,deepseek,BK21_deepseek_01,GraduateStudent:GraduateStudent,applicable,True,False,,applicable,True,0.6127496361732483,node_summary,ResearchScholarship:ResearchScholarship,"Monthly stipend paid to graduate students from BK21 project budget. Monthly stipend paid to graduate students: master's 700K, doctoral candidate 1M, doctoral 1.3M KRW per month. Monthly stipend paid to graduate students at specified minimum amounts. Monthly stipend paid to graduate students from the BK21 project budget. Monthly stipend paid to graduate students, with minimum amounts per degree level. Monthly stipend paid to graduate students and early career researchers from the BK21 project budget. Monthly stipend paid to graduate students and early career researchers. Monthly stipend paid to graduate students with minimum amounts per degree level.",False,0.31494090324765595,True,True,41.0597 billion,False,
BK21_deepseek_01_Outputs_initial_0,BK21,deepseek,BK21_deepseek_01,GraduateStudent:GraduateStudent,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.39116347929421436,False,,,,
BK21_deepseek_01_Outputs_initial_1,BK21,deepseek,BK21_deepseek_01,EarlyCareerResearcher:EarlyCareerResearcher,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.36602802246366983,False,,,,
BK21_deepseek_01_Outputs_initial_2,BK21,deepseek,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,applicable,True,True,cross_role_authority_claim:UniversityAdministration:Oversee graduate innovation support budget allocation (perso,phase_out_of_scope_for_grounding,,,,,,,0.34239933420616975,False,,,,
BK21_deepseek_01_Outputs_initial_3,BK21,deepseek,BK21_deepseek_01,GraduateStudent:GraduateStudent,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.3015314391590739,False,,,,
BK21_deepseek_01_Outputs_initial_4,BK21,deepseek,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.3269912695333195,False,,,,
BK21_deepseek_01_Outputs_revised_0,BK21,deepseek,BK21_deepseek_01,GraduateStudent:GraduateStudent,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.39116347929421436,False,,,,
BK21_deepseek_01_Outputs_revised_1,BK21,deepseek,BK21_deepseek_01,EarlyCareerResearcher:EarlyCareerResearcher,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.36602802246366983,False,,,,
BK21_deepseek_01_Outputs_revised_2,BK21,deepseek,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,applicable,True,True,cross_role_authority_claim:UniversityAdministration:Oversee graduate innovation support budget allocation (perso,phase_out_of_scope_for_grounding,,,,,,,0.34239933420616975,False,,,,
BK21_deepseek_01_Outputs_revised_3,BK21,deepseek,BK21_deepseek_01,GraduateStudent:GraduateStudent,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.3015314391590739,False,,,,
BK21_deepseek_01_Outputs_revised_4,BK21,deepseek,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.3269912695333195,False,,,,
BK21_deepseek_01_Outcomes_initial_0,BK21,deepseek,BK21_deepseek_01,GraduateStudent:GraduateStudent,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.4982963032025397,False,,,,
BK21_deepseek_01_Outcomes_initial_1,BK21,deepseek,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.4609469060398162,False,,,,
BK21_deepseek_01_Outcomes_initial_2,BK21,deepseek,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.44094277779605806,False,,,,
BK21_deepseek_01_Outcomes_initial_3,BK21,deepseek,BK21_deepseek_01,GraduateStudent:GraduateStudent,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.4805467586328575,False,,,,
BK21_deepseek_01_Outcomes_initial_4,BK21,deepseek,BK21_deepseek_01,EarlyCareerResearcher:EarlyCareerResearcher,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.45803320081549553,False,,,,
BK21_deepseek_01_Outcomes_revised_0,BK21,deepseek,BK21_deepseek_01,GraduateStudent:GraduateStudent,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.4982963032025397,False,,,,
BK21_deepseek_01_Outcomes_revised_1,BK21,deepseek,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.4609469060398162,False,,,,
BK21_deepseek_01_Outcomes_revised_2,BK21,deepseek,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.44094277779605806,False,,,,
BK21_deepseek_01_Outcomes_revised_3,BK21,deepseek,BK21_deepseek_01,GraduateStudent:GraduateStudent,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.4805467586328575,False,,,,
BK21_deepseek_01_Outcomes_revised_4,BK21,deepseek,BK21_deepseek_01,EarlyCareerResearcher:EarlyCareerResearcher,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.45803320081549553,False,,,,
BK21_deepseek_01_Impact_initial_0,BK21,deepseek,BK21_deepseek_01,GraduateStudent:GraduateStudent,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.31638848392852065,False,,,,
BK21_deepseek_01_Impact_initial_1,BK21,deepseek,BK21_deepseek_01,GraduateStudent:GraduateStudent,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.36233345964869146,False,,,,
BK21_deepseek_01_Impact_initial_2,BK21,deepseek,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.28538203189447675,False,,,,
BK21_deepseek_01_Impact_initial_3,BK21,deepseek,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.28313200282743456,False,,,,
BK21_deepseek_01_Impact_initial_4,BK21,deepseek,BK21_deepseek_01,EarlyCareerResearcher:EarlyCareerResearcher,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.2987101240472323,False,,,,
BK21_deepseek_01_Impact_revised_0,BK21,deepseek,BK21_deepseek_01,GraduateStudent:GraduateStudent,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.31638848392852065,False,,,,
BK21_deepseek_01_Impact_revised_1,BK21,deepseek,BK21_deepseek_01,GraduateStudent:GraduateStudent,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.36233345964869146,False,,,,
BK21_deepseek_01_Impact_revised_2,BK21,deepseek,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.28538203189447675,False,,,,
BK21_deepseek_01_Impact_revised_3,BK21,deepseek,BK21_deepseek_01,EducationResearchGroup:EducationResearchGroup,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.28313200282743456,False,,,,
BK21_deepseek_01_Impact_revised_4,BK21,deepseek,BK21_deepseek_01,EarlyCareerResearcher:EarlyCareerResearcher,applicable,True,False,,phase_out_of_scope_for_grounding,,,,,,,0.2987101240472323,False,,,,
BK21_deepseek_02_Inputs_initial_0,BK21,deepseek,BK21_deepseek_02,EarlyCareerResearcher:EarlyCareerResearcher,applicable,True,False,,applicable,True,0.6614744067192078,node_summary,UniversityAdministration:UniversityAdministration,"Hanyang University central office managing BK21 and graduate innovation. University central office managing BK21 graduate innovation support, receiving innovation support budget. University central office that manages the graduate innovation support fund in a separate account. University central office that designates a council member and manages graduate innovation support funds. University central office managing BK21 and graduate innovation, receives innovation support fund. University central office that may have graduate innovation support funds suspended if fewer than 5 education research groups fail compliance. University central office managing BK21 graduate innovation; submits reports for evaluation. University central office that submits annual evaluation reports and receives innovation support fund adjustments based on evaluation results. University central office managing BK21 and graduate innovation, participates in the Graduate Innovation Council and submits annual evaluation reports. University central office managing BK21 and graduate innovation, overseeing budget and compliance. University central office managing BK21 and graduate innovation, overseeing budget and evaluations. University central office managing BK21 and graduate innovation; receives graduate innovation support fund. University central office managing BK21 and graduate innovation at the institutional level. University central office managing BK21 graduate innovation support funds, with budget allocation rules for innovation items.",False,0.3709361423501274,True,True,"6%; 19,000; 1,200",False,
BK21_deepseek_02_Inputs_initial_1,BK21,deepseek,BK21_deepseek_02,EducationResearchGroup:EducationResearchGroup,applicable,True,False,,applicable,True,0.6755450963973999,node_summary,EducationResearchGroup:EducationResearchGroup,"University department or team leading a BK21 education research group at Hanyang University. University department or team leading a BK21 education research group, receiving project budget and managing participants. University department or team that receives BK21 project budget and manages scholarships and salaries. Research group that submits self-evaluation reports and is subject to performance consulting. University department or team leading a BK21 education research group that submits consulting reports and participates in performance consulting. University department or team that recommends participants for commendation and shares performance outcomes. A group that operates the BK21 program and is subject to compliance checks and potential contract termination. University department or team leading a BK21 education research group, subject to mid-term evaluation and compliance with program rules. University department or team leading a BK21 education research group, receiving funding and managing participants. University department or team leading a BK21 education research group; receives project budget and indirect costs. University department or team leading a BK21 education research group, selected through competitive evaluation. University department or team selected to lead a BK21 education research group in a specific academic field. University department or team leading a BK21 education research group, selected through competitive evaluation and receiving project budget. University department or team that submits employment data and inputs indicators into the NRF system. University department or team leading a BK21 education research group, responsible for submitting employment data and managing budget.",False,0.32884460441077934,True,True,"800 million; 1.2 billion; 12 million; 2.16 billion; 1.2B; 540 million; 50%; 19,000; 1,200",False,
BK21_deepseek_02_Inputs_initial_2,BK21,deepseek,BK21_deepseek_02,EarlyCareerResearcher:EarlyCareerResearcher,applicable,True,False,,applicable,True,0.701973557472229,edge_fact,edge_0133#source_text,"Education research group project budget includes graduate student support (research scholarship) at minimum monthly amounts: master's 700K, doctoral 1.3M, doctoral candidate 1M KRW.",False,0.3136410538955608,True,True,"800 million; 1.2 billion; 60%; 12 million; 36 million; 540 million; 19,000; 1,200",False,
BK21_deepseek_02_Inputs_initial_3,BK21,deepseek,BK21_deepseek_02,GraduateStudent:GraduateStudent,applicable,True,False,,applicable,True,0.7062808871269226,node_summary,ResearchScholarship:ResearchScholarship,"Monthly stipend paid to graduate students from BK21 project budget. Monthly stipend paid to graduate students: master's 700K, doctoral candidate 1M, doctoral 1.3M KRW per month. Monthly stipend paid to graduate students at specified minimum amounts. Monthly stipend paid to graduate students from the BK21 project budget. Monthly stipend paid to graduate students, with minimum amounts per degree level. Monthly stipend paid to graduate students and early career researchers from the BK21 project budget. Monthly stipend paid to graduate students and early career researchers. Monthly stipend paid to graduate students with minimum amounts per degree level.",False,0.34017642384464014,True,True,"1.2 billion; 12 million; 60%; 36 million; 540 million; 19,000; 1,200",False,
BK21_deepseek_02_Inputs_initial_4,BK21,deepseek,BK21_deepseek_02,GraduateStudent:GraduateStudent,applicable,True,False,,applicable,True,0.6810126304626465,edge_fact,edge_0012#source_text,"2021 budget 408 billion KRW including carryover from previous year; 68 universities, 578 education research groups (teams) / 3,556 billion KRW.",False,0.3442497779786084,True,True,"1.2 billion; 12 million; 60%; 36 million; 540 million; 19,000; 1,200",False,
BK21_deepseek_02_Inputs_revised_0,BK21,deepseek,BK21_deepseek_02,EarlyCareerResearcher:EarlyCareerResearcher,applicable,True,False,,applicable,True,0.6614744067192078,node_summary,UniversityAdministration:UniversityAdministration,"Hanyang University central office managing BK21 and graduate innovation. University central office managing BK21 graduate innovation support, receiving innovation support budget. University central office that manages the graduate innovation support fund in a separate account. University central office that designates a council member and manages graduate innovation support funds. University central office managing BK21 and graduate innovation, receives innovation support fund. University central office that may have graduate innovation support funds suspended if fewer than 5 education research groups fail compliance. University central office managing BK21 graduate innovation; submits reports for evaluation. University central office that submits annual evaluation reports and receives innovation support fund adjustments based on evaluation results. University central office managing BK21 and graduate innovation, participates in the Graduate Innovation Council and submits annual evaluation reports. University central office managing BK21 and graduate innovation, overseeing budget and compliance. University central office managing BK21 and graduate innovation, overseeing budget and evaluations. University central office managing BK21 and graduate innovation; receives graduate innovation support fund. University central office managing BK21 and graduate innovation at the institutional level. University central office managing BK21 graduate innovation support funds, with budget allocation rules for innovation items.",False,0.3709361423501274,True,True,"6%; 19,000; 1,200",False,
BK21_deepseek_02_Inputs_revised_1,BK21,deepseek,BK21_deepseek_02,EducationResearchGroup:EducationResearchGroup,applicable,True,False,,applicable,True,0.6755450963973999,node_summary,EducationResearchGroup:EducationResearchGroup,"University department or team leading a BK21 education research group at Hanyang University. University department or team leading a BK21 education research group, receiving project budget and managing participants. University department or team that receives BK21 project budget and manages scholarships and salaries. Research group that submits self-evaluation reports and is subject to performance consulting. University department or team leading a BK21 education research group that submits consulting reports and participates in performance consulting. University department or team that recommends participants for commendation and shares performance outcomes. A group that operates the BK21 program and is subject to compliance checks and potential contract termination. University department or team leading a BK21 education research group, subject to mid-term evaluation and compliance with program rules. University department or team leading a BK21 education research group, receiving funding and managing participants. University department or team leading a BK21 education research group; receives project budget and indirect costs. University department or team leading a BK21 education research group, selected through competitive evaluation. University department or team selected to lead a BK21 education research group in a specific academic field. University department or team leading a BK21 education research group, selected through competitive evaluation and receiving project budget. University department or team that submits employment data and inputs indicators into the NRF system. University department or team leading a BK21 education research group, responsible for submitting employment data and managing budget.",False,0.32884460441077934,True,True,"800 million; 1.2 billion; 12 million; 2.16 billion; 1.2B; 540 million; 50%; 19,000; 1,200",False,
